STATION_NAME,SITE_ID,FIRE_CENTRE,ENABLED,LATITUDE,LONGITUDE,ELEVATION,STATION_CODE,FIRE_ZONE
ADAMS LAKE SOUTH PRECIP,,,FALSE,NA,NA,NA,NA,NA
AFTON,96.1.73.189:48032,Kamloops Fire Centre,TRUE,50.673333,-120.4816667,120,322,Kamloops
AKOKLI CREEK,96.1.70.191:48002;0x025A-0x14E1-0x0346,Southeast Fire Centre,TRUE,49.4358,-116.7464,821,838,Boundary
ALEXIS CREEK,66c8b4e699a271067ca51c73,Cariboo Fire Centre,TRUE,52.08377,-123.2732667,791,209,Chilcotin
ALLISON PASS,66bcf0eb99a271067ca51c42,Coastal Fire Centre,TRUE,49.0623139,-120.7674194,1174,317,Fraser
ANAHIM LAKE,173.181.133.179:48029;0x009E-0x01D4-0x0203-0x00D5,Cariboo Fire Centre,TRUE,52.460915,-125.306681,1097,213,Chilcotin
ANDERSON CREEK,66bcf01100e01a5a0ce79197,Coastal Fire Centre,TRUE,49.6551,-121.3580667,655,977,Fraser
APE LAKE,66bcf4f599a271067ca51c44,Coastal Fire Centre,TRUE,49.6552,-121.3574,,1275,North Island Mid Coast
ASHNOLA,66a9000c00e01a5a0ce7916c,Kamloops Fire Centre,TRUE,49.1391,-120.1844,,331,Penticton
ASPEN GROVE,96.1.101.91:48042,Kamloops Fire Centre,TRUE,49.94811,-120.62107,,302,Merritt
ATLIN,680a6e40bd48a6284588763e,Northwest Fire Centre,TRUE,59.58447,-133.664283,,111,Cassiar
AUGIER LAKE,66ba5db999a271067ca51c3c,Northwest Fire Centre,TRUE,54.361883,-125.52535,,167,Nadina
AUGUST LAKE,96.1.71.19:48007,Kamloops Fire Centre,TRUE,49.43348,-120.45712,,836,Merritt
BAKER,96.1.70.225:48004,Southeast Fire Centre,TRUE,49.4588889,-115.6302778,,503,Cranbrook
BAKER CREEK,,Cariboo Fire Centre,FALSE,NA,NA,NA,4973,NA
BALDFACE,173.181.133.179:48029;0x009E-0x01D4-0x0203-0x00DD,Cariboo Fire Centre,TRUE,52.7101,-124.48225,1666,221,Chilcotin
BEAR LAKE,173.181.133.38:48026;0x04E0-0x0452-0x01D1-0x0387,Prince George Fire Centre,TRUE,54.4823,-122.6836,715,149,Prince George
BEAVER CREEK,66ba5feb99a271067ca51c3d,Coastal Fire Centre,TRUE,49.3777,-124.9337,121,37,Mid Island
BEAVERDELL,173.181.134.220:48035,Southeast Fire Centre,TRUE,49.4563889,-119.0886111,807,390,Kootenay
BEDNESTI,173.181.133.179:48029;0x009E-0x01D4-0x00AF,Prince George Fire Centre,TRUE,53.8654,-123.3232,,175,Prince George
BELL-IRVING,66ad65d299a271067ca51c21,Northwest Fire Centre,TRUE,56.3485,-129.2929,,432,Skeena
BENSON,173.181.139.84:48055;0x0396-0x00E4,Cariboo Fire Centre,TRUE,52.90994,-122.066618,1046,228,Quesnel
BERRY,68754d95bd48a628458876c7,,FALSE,51.9787,-119.4133,,NA,Kamloops
BIG MOUTH 2,66ad679799a271067ca51c22,Southeast Fire Centre,TRUE,51.8532,-118.5915,,868,Boundary
BIG SILVER 2,66ba909e00e01a5a0ce79194,Coastal Fire Centre,TRUE,49.7233972,-121.8365167,570,1040,Fraser
BIG VALLEY,66a7cde399a271067ca51bf6,Cariboo Fire Centre,TRUE,53.2616667,-121.761669,,262,Quesnel
BIGATTINI,96.1.70.225:48004;0x0AA9-0x0315,Southeast Fire Centre,TRUE,49.4588889,-115.6302778,,2450,Columbia
BLACKPINE,66a7cec600e01a5a0ce79159,Prince George Fire Centre,TRUE,56.3187778,-125.3679722,,148,Mackenzie
BLAEBERRY,96.1.66.140:48016,Southeast Fire Centre,TRUE,51.4357,-117.0571,861,866,Cranbrook
BLOWDOWN PASS PROJECT,,Kamloops Fire Centre,FALSE,NA,NA,NA,NA,Lillooet
BLUE RIVER 2,173.181.135.3:48039,Prince George Fire Centre,TRUE,52.122,-119.293,,1108,Robson Valley
BLUEBERRY,687feaf8a1ed9944730c8707,Prince George Fire Centre,TRUE,53.3159,-119.6007,1088,4352,Robson Valley
BOB QUINN LAKE,680a76bba1ed9944730c8648,Northwest Fire Centre,TRUE,56.9809,-130.251,605,113,Cassiar
BOOTHROYD,66b53a3400e01a5a0ce7918d,Coastal Fire Centre,TRUE,49.9753,-121.4891,361,1339,Fraser
BOULDER CREEK,,Southeast Fire Centre,FALSE,NA,NA,NA,1240,NA
BOWRON HAGGEN,173.181.133.38:48026;0x04E0-0x0452-0x00C1,Prince George Fire Centre,TRUE,53.463,-121.5603,,193,Prince George
BOWSER,96.1.66.145:48019,Coastal Fire Centre,TRUE,49.43667,-124.7022,111,56,Mid Island
BOYA LAKE,66ad686f99a271067ca51c23,Northwest Fire Centre,TRUE,59.3673,-129.1109,,445,Cassiar
BRENDA MINES,96.1.71.103:48001;0x01E0-0x01DC-0x011B,Kamloops Fire Centre,TRUE,49.868417,-119.992517,,283,Lillooet
BRISCO,173.181.139.55:48050;0x01A1-0x01F3-0x01ED-0x0361,Southeast Fire Centre,TRUE,50.81933,-116.24498,930,865,Columbia
BURNS LAKE 850M,96.1.66.151:48024,Northwest Fire Centre,TRUE,54.2591,-125.7598,824,181,Nadina
CAHILTY,6712a6631551e7328e6d8d4b,Kamloops Fire Centre,TRUE,50.8879,-119.8383,1543,253,Kamloops
CAPILANO GVRD,,Coastal Fire Centre,FALSE,NA,NA,NA,NA,NA
CARIBOO CREEK,66b532f699a271067ca51c32,Southeast Fire Centre,TRUE,51.1753,-117.1757,1529,1790,Invermere
CARIBOU CORNER,66bf830d00e01a5a0ce7919d,Southeast Fire Centre,FALSE,51.0254,-118.1514,,1262,NA
CATFISH,66bcf1fe99a271067ca51c43,Prince George Fire Centre,TRUE,53.5764,-120.8584,871,199,Prince George
CEDAR,96.1.70.200:48003,Coastal Fire Centre,TRUE,49.04761,-123.8747,30,59,Mid Island
CEDARVALE,66bf960b00e01a5a0ce7919e,Northwest Fire Centre,TRUE,55.0302,-128.31,,429,Bulkley
CHEAKAMUS,687eb08abd48a628458876cf,Coastal Fire Centre,TRUE,50.0835,-123.0475,592,1283,Pemberton
CHEF CREEK TEST,96.1.102.152:48012,Coastal Fire Centre,TRUE,49.403888,-124.75805,,NA,Mid Island
CHERRY LAKE,96.1.70.225:48004;0x0AA9-0x0434-0x0317,Southeast Fire Centre,TRUE,49.1877833,-115.5416667,,791,Columbia
CHETWYND FB,,Prince George Fire Centre,FALSE,NA,NA,NA,4270,Dawson Creek
CHILAKO,173.181.133.179:48029;0x009E-0x01D4-0x0A2D,Prince George Fire Centre,TRUE,53.4936,-123.6088,807,189,Prince George
CHURN CREEK,680aa666a1ed9944730c864f,Cariboo Fire Centre,TRUE,51.4027,-122.3202,1100,832,Central Cariboo
CLAYTON FALLS,,Coastal Fire Centre,FALSE,NA,NA,NA,1199,NA
CLEARWATER HUB,173.181.135.2:48038,Kamloops Fire Centre,TRUE,51.629,-120.094,,239,Kamloops
COBBLE HILL,,Coastal Fire Centre,FALSE,NA,NA,NA,5154,NA
COLDSCAUR LAKE,173.181.135.2:48038;0x00EF-0x01D9-0x00E8,Kamloops Fire Centre,TRUE,51.724,-120.39,,232,Kamloops
COQUITLAM GVRD,,Coastal Fire Centre,FALSE,NA,NA,NA,NA,NA
CRANBERRY,66b53e8399a271067ca51c34,Northwest Fire Centre,TRUE,55.5767,-128.7049,,433,Bulkley
CRANBROOK,96.1.70.225:48004;0x0AA9-0x01AA,Southeast Fire Centre,TRUE,49.6669444,-115.848055,,426,Cranbrook
CRAWFORD,66b53efe00e01a5a0ce7918e,Southeast Fire Centre,TRUE,50.7649,-117.9578,,873,Cranbrook
CURWEN CREEK,66bfc73299a271067ca51c49,Kamloops Fire Centre,TRUE,50.6022,-118.4229,1286,NA,Vernon
DARCY,6757755f2e48134ee1235cbd,Coastal Fire Centre,TRUE,50.5217,-122.4979,334,292,Pemberton
DARKWOODS,66a7dd5399a271067ca51bf8,Southeast Fire Centre,TRUE,49.3576111,-116.95025,,1203,Columbia
DEASE LAKE FS,680a7f05a1ed9944730c8649,Northwest Fire Centre,TRUE,58.4258,-130.018,797,108,Cassiar
DECEPTION,680ab2e1bd48a6284588763f,Cariboo Fire Centre,TRUE,51.9674,-120.6078,,251,100 Mile House
DEWAR CREEK,680ab6b4a1ed9944730c8651,Southeast Fire Centre,TRUE,49.7845,-116.383,,421,Kootenay
